-0.873,0,-0.86359,-0.873,-0.873
-0.466,0,-0.40689,-0.388,-0.388
-0.077,0.08,0.053068,0.055,0.055
0.21,0.314,0.2896,0.29,0.29
0.618,1.056,0.76936,0.738,0.738
-0.416,0.223,-0.14295,-0.127,-0.127
-0.719,0,-0.63771,-0.627,-0.627
-46.312,109,12.461,-5.438,-5.438
-32.062,39.562,4.0266,-6.188,-6.188
-71.75,47.562,0.26537,19.125,19.125
-39,38,-0.27703,23,23
-16,20,-0.86395,7,7
-15,27,-1.1528,3,3
-12,13,-0.85612,2,2
-42,69,-0.69128,-15,-15
-23,44,-1.0204,-13,-13
-32,20,-0.84058,-3,-3
-35,68,-0.81208,2,2
-0.883,0,-0.87352,-0.863,-0.863
-0.495,0,-0.46785,-0.495,-0.495
-0.189,0.027,-0.024185,0.027,0.027
0.091,0.132,0.11833,0.092,0.092
0.73,0.942,0.83631,0.894,0.894
-0.437,0.015,-0.13787,-0.042,-0.042
-0.619,0,-0.52119,-0.508,-0.508
-7.125,68.188,15.171,-7.125,-7.125
-21.812,13.562,-7.3507,-17.812,-17.812
-12.25,31.125,9.2453,5.375,5.375
-56,32,-1.1752,-22,-22
-20,24,-1.2403,-6,-6
-14,22,-1.0923,-3,-3
-10,15,-0.92969,0,0
-71,62,-0.31298,-3,-3
-53,20,-0.72868,-9,-9
-14,15,-1.4083,1,1
-37,36,-0.81061,-4,-4
-0.909,0,-0.89828,-0.909,-0.909
-0.437,0,-0.40306,-0.384,-0.384
-0.186,0,-0.03866,-0.004,-0.004
0.13,0.195,0.16214,0.163,0.163
0.669,0.854,0.75018,0.669,0.669
-0.425,0,-0.19656,-0.128,-0.128
-0.738,0,-0.64422,-0.656,-0.656
-8.812,81.312,21.496,19.688,19.688
-15.062,19.438,3.9413,3.938,3.938
-26.562,25.188,6.0075,-10.25,-10.25
-51,80,-0.89691,0,0
-30,15,-1.0435,0,0
-15,16,-0.92784,-5,-5
-11,8,-0.96429,-4,-4
-35,42,-2.0521,-35,-35
-26,23,-1.1313,-4,-4
-13,9,-0.81915,3,3
-46,48,-0.38776,3,3
-0.875,0,-0.86096,-0.862,-0.862
-0.472,0,-0.40428,-0.384,-0.384
-0.228,0.046,-0.027711,0.038,0.038
0.171,0.339,0.28373,0.328,0.328
0.647,0.804,0.72253,0.724,0.724
-0.535,0,-0.26383,-0.16,-0.16
-0.742,0,-0.62231,-0.67,-0.67
-8.062,92.75,21.893,-4.375,-4.375
-11.188,13.5,1.1476,2.438,2.438
-30.75,13.375,-1.423,-5.312,-5.312
-48,36,-0.69231,-3,-3
-11,11,-1,-8,-8
-12,19,-1.1677,-12,-12
-9,17,-0.92903,-7,-7
-40,61,-1.3537,-23,-23
-24,17,-0.87421,-17,-17
-9,6,-0.71127,-8,-8
-52,44,-0.51515,1,1
-0.866,0,-0.85641,-0.861,-0.861
-0.487,0,-0.42753,-0.421,-0.421
-0.218,0.07,0.012941,0.07,0.07
0.153,0.323,0.27251,0.277,0.277
0.701,0.95,0.78145,0.778,0.778
-1.656,0.644,-0.21327,-0.095,-0.095
-0.88,0,-0.60349,-0.605,-0.605
-7,218,36.81,-7,-7
-89.5,18.875,-0.28675,-3.125,-3.125
-64.438,135.25,4.3664,6.438,6.438
-45,39,-0.73469,-14,-14
-9,18,-0.4086,-1,-1
-13,15,-0.71739,-2,-2
-10,15,-0.76667,-2,-2
-37,35,-1.1562,15,15
-13,19,-1.1023,-4,-4
-19,7,-1.0227,-4,-4
-33,24,-1.1489,-26,-26
-0.869,0,-0.86052,-0.849,-0.849
-0.526,0,-0.49283,-0.526,-0.526
-0.228,0.01,-0.043412,-0.029,-0.029
0.04,0.117,0.094558,0.04,0.04
0.736,1.051,0.86902,1.051,1.051
-0.458,0.009,-0.1535,-0.064,-0.064
-0.61,0,-0.46621,-0.403,-0.403
-30.562,87,15.004,-22.562,-22.562
-32.25,15.438,-4.5444,-9.125,-9.125
-10.312,46.688,17.126,7.062,7.062
-57,52,-0.85577,19,19
-13,21,-0.79412,8,8
-11,31,-0.77885,5,5
-11,9,-0.71,5,5
-29,45,-0.28302,3,3
-12,13,-0.26263,-1,-1
-11,6,-0.72632,-4,-4
-37,37,-0.55238,-2,-2
-0.891,0,-0.88233,-0.891,-0.891
-0.474,0,-0.45418,-0.448,-0.448
-0.079,0.013,-0.011267,0.008,0.008
0.079,0.142,0.1188,0.079,0.079
0.743,0.921,0.83724,0.826,0.826
-0.203,0,-0.12389,-0.013,-0.013
-0.604,0,-0.55862,-0.563,-0.563
-16.688,49.312,6.4903,-16.625,-16.625
-10.625,25.688,2.6208,1.75,1.75
-25.75,34.125,11.015,12.812,12.812
-42,50,-0.38947,-25,-25
-12,10,-0.60465,-12,-12
-20,12,-0.98864,-7,-7
-9,18,-0.56044,-5,-5
-36,39,-0.88636,-1,-1
-15,20,-0.5,-2,-2
-9,8,-0.91667,-5,-5
-37,43,-0.24176,-25,-25
-0.88,0,-0.87055,-0.876,-0.876
-0.487,0,-0.43421,-0.416,-0.416
-0.122,0.053,0.023362,0.042,0.042
0.19,0.245,0.22493,0.241,0.241
0.693,0.916,0.80729,0.693,0.693
-0.37,0,-0.15003,-0.083,-0.083
-0.661,0,-0.59243,-0.615,-0.615
-15.125,87.938,17.543,15.125,15.125
-15.625,26.188,4.2371,-0.875,-0.875
-28.312,39,3.8588,-24.375,-24.375
-60,48,-1.1217,-30,-30
-17,21,-0.76577,-13,-13
-14,16,-0.83636,-6,-6
-16,13,-0.79808,-1,-1
-55,51,-0.044643,1,1
-33,38,-0.48598,-3,-3
-9,8,-0.74545,-8,-8
-41,40,-1.3772,-25,-25
-0.877,0,-0.86788,-0.871,-0.871
-0.486,0,-0.43883,-0.444,-0.444
-0.146,0.087,0.048547,0.084,0.084
0.163,0.255,0.21712,0.193,0.193
0.762,0.937,0.81611,0.857,0.857
-0.397,0.039,-0.096541,-0.028,-0.028
-0.658,0,-0.56781,-0.529,-0.529
-9.688,79,16.546,-0.812,-0.812
-24.562,22.562,-0.35752,-8.812,-8.812
-25.188,31.938,7.1591,-4.438,-4.438
