3.1705,2.8031,0.27709,1.1093
2.4519,2.1195,0.25581,0.81757
-1.2808,-1.3698,-0.15714,-0.46565
-2.0532,-2.1878,-0.3299,-0.72684
4.6562,4.0262,0.30359,1.6583
-0.34596,-0.56827,-0.23491,-0.11206
-1.1626,-1.3444,-0.1711,-0.46338
99.327,-60.983,-36.075,-60.206
31.832,-31.977,-48.675,-0.14802
58.212,-76.954,-44.061,-50.312
8.5477,-24.669,-23.452,0.4659
4.8999,-19.551,-13.668,-1.9296
-1.9576,-13.873,-9.1337,-2.7411
-1.8559,-12.998,-11.106,-0.87619
3.3096,-20.52,-15.846,1.8072
-3.6212,-6.8473,-6.1051,-4.5095
-1.9779,-10.268,-7.4591,-3.4873
6.4882,-31.258,-24.472,-4.2519
4.695,2.1382,2.4153,2.2703
3.1629,1.3315,1.7,1.5657
-1.2304,-0.69052,-0.71778,-0.56066
-2.3413,-1.1837,-1.4839,-1.1339
5.9362,2.5201,3.1541,2.8855
-0.47044,-0.16267,-0.5428,-0.29504
-2.177,-1.3061,-1.2852,-1.0774
-3.6831,-29.78,-5.8394,13.375
28.075,-26.989,2.1654,38.041
58.001,-31.375,45.954,37.159
0.70908,-15.671,-11.601,4.078
4.8516,-20.222,-18.955,3.4802
2.0814,-14.493,-13.812,-2.7467
-2.1553,-7.7255,-6.3667,-4.0529
-2.4309,-11.581,-9.4994,-4.5854
-1.6973,-9.1065,-8.8672,-2.3497
-1.889,-14.411,-11.905,-0.47201
5.0173,-36.457,-34.542,11.528
4.7198,1.6988,2.6377,3.8528
3.4641,1.2725,1.9341,2.8411
-1.2742,-0.58332,-0.79879,-0.97224
-2.4734,-1.11,-1.5979,-2.1315
6.2349,2.2048,3.4504,5.0697
-0.71101,-0.4792,-0.60085,-0.78715
-1.9303,-0.83812,-1.2557,-1.7033
1.9204,-27.606,-17.595,8.9348
-0.78123,-17.531,-28.976,-22.095
23.759,-36.314,-2.9982,79.567
3.15,-28.627,-23.773,3.4034
-1.0882,-15.934,-13.011,-1.9672
-2.103,-12.84,-13.378,-1.6235
-2.5221,-7.3076,-7.41,-2.3571
-4.6025,-5.5547,-5.8206,-3.7939
-3.4173,-5.962,-5.3447,-3.283
-1.819,-12.644,-10.895,-3.6005
6.8404,-25.694,-19.217,-3.1756
4.412,1.5924,2.4802,3.6194
2.9743,1.0838,1.6295,2.4946
-1.7691,-0.78519,-1.1191,-1.4132
-3.1799,-1.3853,-2.0026,-2.6271
6.0724,2.1599,3.3369,4.9946
-0.4245,-0.34928,-0.35203,-0.44875
-2.3872,-1.0307,-1.57,-1.9885
10.409,-61.166,-27.695,54.016
1.2062,-44.667,-26.829,4.4783
9.6333,-27.046,-7.3003,34.125
1.9003,-29.203,-14.313,0.55477
0.67632,-18.178,-14.79,-0.45195
-1.009,-11.517,-15.249,-1.485
-1.5917,-8.5321,-9.5259,-2.2835
-2.7973,-5.1106,-8.412,-3.0335
-3.8395,-4.4676,-6.149,-3.0336
-2.7182,-9.3427,-9.4692,-4.432
1.6968,-31.123,-25.639,-1.9925
3.7238,2.4568,1.1962,0.78329
2.707,1.7482,0.85799,0.54517
-1.3181,-1.1524,-0.47612,-0.35707
-2.7205,-2.1819,-1.0396,-0.59656
5.2012,3.4388,1.5606,1.1558
-0.8198,-0.59328,-0.42123,-0.051019
-1.9052,-1.5554,-0.77613,-0.39435
69.148,1.2286,-13.451,-8.3874
-12.537,-15.644,-25.65,17.235
15.595,-14.25,5.4286,-2.5048
1.6752,-15.658,-10.674,-1.7859
0.093507,-14.537,-12.273,1.2036
-1.7553,-12.873,-11.442,0.3371
-2.0916,-7.5059,-8.0737,-2.4673
-3.6117,-5.6337,-6.5301,-2.6048
-2.7281,-11.154,-10.754,-0.2315
0.13419,-16.002,-13.742,-4.4756
6.2121,-36.293,-30.376,-0.024622
3.8093,2.7889,1.0201,0.92108
